price_level,tpo_count,first_seen_period,last_seen_period,periods,is_single_print,relative_density
4788.25,1,U,U,U,True,0.05555555555555555
4788.0,1,U,U,U,True,0.05555555555555555
4787.75,2,K,U,KU,False,0.1111111111111111
4787.5,3,K,U,KLU,False,0.16666666666666666
4787.25,3,K,U,KLU,False,0.16666666666666666
4787.0,3,K,U,KLU,False,0.16666666666666666
4786.75,3,K,U,KLU,False,0.16666666666666666
4786.5,3,K,U,KLU,False,0.16666666666666666
4786.25,3,K,U,KLU,False,0.16666666666666666
4786.0,5,I,V,IKLUV,False,0.2777777777777778
4785.75,5,I,V,IKLUV,False,0.2777777777777778
4785.5,5,I,V,IKLUV,False,0.2777777777777778
4785.25,6,I,V,IKLTUV,False,0.3333333333333333
4785.0,6,I,V,IKLTUV,False,0.3333333333333333
4784.75,6,I,V,IKLTUV,False,0.3333333333333333
4784.5,7,I,V,IJKLTUV,False,0.3888888888888889
4784.25,7,I,V,IJKLTUV,False,0.3888888888888889
4784.0,8,I,V,IJKLRTUV,False,0.4444444444444444
4783.75,10,I,V,IJKLORSTUV,False,0.5555555555555556
4783.5,10,I,V,IJKLORSTUV,False,0.5555555555555556
4783.25,10,I,V,IJKLORSTUV,False,0.5555555555555556
4783.0,10,I,V,IJLOPRSTUV,False,0.5555555555555556
4782.75,10,I,V,IJLOPRSTUV,False,0.5555555555555556
4782.5,11,I,W,IJLOPRSTUVW,False,0.6111111111111112
4782.25,13,I,W,IJLMOPQRSTUVW,False,0.7222222222222222
4782.0,15,G,W,GIJLMNOPQRSTUVW,False,0.8333333333333334
4781.75,15,G,W,GIJLMNOPQRSTUVW,False,0.8333333333333334
4781.5,15,G,W,GIJLMNOPQRSTUVW,False,0.8333333333333334
4781.25,16,G,X,GIJLMNOPQRSTUVWX,False,0.8888888888888888
4781.0,16,G,Y,GHIMNOPQRSTUVWXY,False,0.8888888888888888
4780.75,16,G,Y,GHIMNOPQRSTUVWXY,False,0.8888888888888888
4780.5,17,F,Y,FGHIMNOPQRSTUVWXY,False,0.9444444444444444
4780.25,18,F,Z,FGHIMNOPQRSTUVWXYZ,False,1.0
4780.0,18,F,Z,FGHIMNOPQRSTUVWXYZ,False,1.0
4779.75,18,F,Z,FGHIMNOPQRSTUVWXYZ,False,1.0
4779.5,18,F,Z,FGHIMNOPQRSTUVWXYZ,False,1.0
4779.25,18,F,Z,FGHIMNOPQRSTUVWXYZ,False,1.0
4779.0,17,F,Z,FGHIMNPQRSTUVWXYZ,False,0.9444444444444444
