datetime,open,high,low,close,volume
2022-01-04 00:00:00,4794.5,4797.25,4794.25,4797.25,3217
2022-01-04 00:30:00,4797.25,4798.0,4796.5,4797.25,2062
2022-01-04 01:00:00,4797.25,4798.5,4795.25,4795.5,3048
2022-01-04 01:30:00,4795.25,4797.25,4795.25,4796.25,1775
2022-01-04 02:00:00,4796.25,4796.25,4793.0,4794.0,3489
2022-01-04 02:30:00,4793.75,4797.5,4793.75,4797.5,3013
2022-01-04 03:00:00,4797.5,4797.5,4792.75,4795.5,10454
2022-01-04 03:30:00,4795.5,4797.0,4792.5,4793.5,6598
2022-01-04 04:00:00,4793.5,4796.0,4793.0,4794.75,3915
2022-01-04 04:30:00,4794.75,4796.5,4793.25,4796.5,4390
2022-01-04 05:00:00,4796.5,4804.75,4796.5,4804.25,10227
2022-01-04 05:30:00,4804.25,4805.25,4802.25,4803.75,6621
2022-01-04 06:00:00,4803.75,4807.5,4802.25,4804.75,8215
2022-01-04 06:30:00,4804.5,4805.25,4802.75,4803.25,4854
2022-01-04 07:00:00,4803.0,4803.75,4795.0,4796.75,13939
2022-01-04 07:30:00,4796.75,4799.75,4796.0,4799.25,10348
2022-01-04 08:00:00,4799.25,4805.0,4798.0,4803.5,18313
2022-01-04 08:30:00,4803.5,4804.0,4800.25,4802.75,11103
2022-01-04 09:00:00,4802.5,4804.25,4800.0,4801.25,15701
2022-01-04 09:30:00,4801.25,4808.25,4799.0,4805.25,148751
2022-01-04 10:00:00,4805.0,4805.75,4795.75,4804.75,122526
2022-01-04 10:30:00,4804.5,4806.25,4783.75,4785.0,131403
2022-01-04 11:00:00,4785.0,4785.5,4773.0,4778.5,121916
2022-01-04 11:30:00,4778.5,4788.5,4777.0,4783.25,78551
2022-01-04 12:00:00,4783.25,4788.25,4779.5,4784.0,41695
2022-01-04 12:30:00,4783.75,4784.75,4775.5,4776.75,40707
2022-01-04 13:00:00,4776.5,4781.75,4774.5,4776.25,43703
2022-01-04 13:30:00,4776.5,4776.75,4764.5,4765.75,67479
2022-01-04 14:00:00,4765.75,4775.0,4765.25,4773.75,53359
2022-01-04 14:30:00,4773.75,4784.0,4773.5,4782.5,53556
2022-01-04 15:00:00,4782.5,4791.75,4782.0,4791.0,65001
2022-01-04 15:30:00,4791.0,4798.25,4782.75,4783.75,163201
2022-01-04 16:00:00,4783.5,4785.25,4781.0,4782.75,38387
2022-01-04 16:30:00,4782.75,4784.0,4781.25,4783.75,3514
2022-01-04 18:00:00,4783.5,4784.5,4778.25,4779.75,4455
2022-01-04 18:30:00,4779.75,4779.75,4777.0,4778.25,3146
2022-01-04 19:00:00,4778.25,4779.25,4774.75,4776.25,4701
2022-01-04 19:30:00,4776.25,4777.0,4774.25,4776.75,3442
2022-01-04 20:00:00,4777.0,4781.25,4775.5,4778.0,3786
2022-01-04 20:30:00,4778.0,4778.0,4769.5,4772.25,7645
2022-01-04 21:00:00,4772.25,4775.25,4771.25,4772.5,4023
2022-01-04 21:30:00,4772.5,4774.25,4771.25,4773.75,3423
2022-01-04 22:00:00,4773.75,4774.75,4771.25,4772.5,2339
2022-01-04 22:30:00,4772.25,4774.25,4771.5,4773.75,1919
2022-01-04 23:00:00,4773.75,4774.25,4772.75,4773.25,1224
2022-01-04 23:30:00,4773.25,4773.5,4771.25,4773.0,1741
